Particle Type,Pressure (mbar),f1 Peak Frequency (Hz),f2 Peak Frequency (Hz),f3 Peak Frequency (Hz),f1 Radius (m),f2 Radius (m),f3 Radius (m),f1 Mass (kg),f2 Mass (kg),f3 Mass (kg),f1 Damping,f2 Damping,f3 Damping,f1 A Parameter,f2 A Parameter,f3 A Parameter,f1 Conversion Factor (V m^-1),f2 Conversion Factor (V m^-1),f3 Conversion Factor (V m^-1),f1 Signal,f2 Signal,f3 Signal,Noise Floor,f1 Signal-to-noise Value,f2 Signal-to-noise Value,f3 Signal-to-noise Value
25T 1000uM Final ZnCl2 SiNP,3.54,104007.0,165022.0,187209.0,2.6200000000000003e-08,7.88e-08,5.7300000000000004e-08,1.35e-19,3.6900000000000004e-18,1.41e-18,20400.0,6780.0,9340.0,209000000.0,3800000000.0,967000000.0,409.99999999999994,15800.0,4200.0,1.5508456e-12,7.153608e-11,7.842911e-12,2.2515971e-13,6.8877583,317.71262,34.832657
25T 1000uM Final ZnCl2 SiNP,3.5,105440.0,166927.0,187510.0,5.22e-08,7.7e-08,6.34e-08,1.07e-18,3.44e-18,1.92e-18,10120.0,6870.0,8340.0,107400000.0,4320000000.0,778000000.0,1170.0,16200.000000000002,4600.0,2.9925053e-12,1.01781236e-10,1.0031021e-11,2.2649578e-13,13.21219,449.37366,44.287895
25T 1000uM Final ZnCl2 SiNP,3.53,100082.0,154506.0,170481.0,8.93e-08,9.449999999999999e-08,4.13e-08,5.4000000000000005e-18,6.4000000000000006e-18,5.3e-19,5970.0,5640.0,12900.0,782000000.0,7090000000.0,437000000.0,9200.0,31100.0,1470.0,4.74208e-11,3.4013412e-10,3.754258e-12,2.1244547e-13,223.21399,1601.042,17.671633
25T 1000uM Final ZnCl2 SiNP,3.58,102997.0,161411.0,180542.0,7.52e-08,8.91e-08,5.84e-08,3.2100000000000003e-18,5.3e-18,1.5000000000000001e-18,7190.0,6070.0,9270.0,259000000.0,5210000000.0,636000000.0,3740.0,23500.0,3520.0,1.6364026e-11,1.7395511e-10,9.096763e-12,2.092456e-13,78.20488,831.3442,43.474094
25T 1000uM Final ZnCl2 SiNP,3.55,100940.0,156722.0,173067.0,9.01e-08,8.980000000000001e-08,5.12e-08,5.5e-18,5.5e-18,1.01e-18,5950.0,5970.0,10480.0,517000000.0,7420000000.0,665000000.0,7600.0,28600.0,2780.0,1.706757e-11,2.3403807e-10,8.83275e-12,2.0992168e-13,81.30447,1114.8828,42.076405
25T 1000uM Final ZnCl2 SiNP,3.58,107000.0,148533.0,161972.0,1.0209999999999998e-07,8.240000000000001e-08,5.480000000000001e-08,8e-18,4.200000000000001e-18,1.2400000000000001e-18,5300.0,6560.0,9900.0,10000000000.0,4650000000.0,537000000.0,43000.0,19000.0,2850.0,6.69341e-10,7.626503e-11,8.861833e-12,2.2757534e-13,2941.1843,335.11993,38.940216
25T 1000uM Final ZnCl2 SiNP,3.58,103859.0,162933.0,182963.0,7.27e-08,8.55e-08,6.03e-08,2.9e-18,4.7000000000000004e-18,1.65e-18,7440.0,6330.0,8970.0,262000000.0,5620000000.0,701000000.0,3510.0,22500.0,3900.0,2.148163e-11,2.1102148e-10,6.82974e-12,2.1133887e-13,101.64543,998.49817,32.316536
25T 1000uM Final ZnCl2 SiNP,3.56,94893.0,147337.0,156870.0,1.05e-07,1.1399999999999999e-07,4.64e-08,8.7e-18,1.1100000000000001e-17,7.5e-19,5120.0,4730.0,11600.0,500000000.0,9010000000.0,1800000000.0,10200.0,50000.0,3800.0,3.223898e-11,3.0880518e-10,2.0223141e-11,2.2250954e-13,144.88808,1387.829,90.88663
25T 1000uM Final ZnCl2 SiNP,3.54,106552.0,170480.0,193468.0,2.9500000000000003e-08,6.79e-08,6.210000000000001e-08,1.94e-19,2.36e-18,1.8e-18,18100.0,7870.0,8610.0,86500000.0,3470000000.0,1018000000.0,334.0,11200.000000000002,5100.0,1.0226824e-12,4.634659e-11,6.7178325e-12,2.446675e-13,4.1798863,189.42682,27.456985
25T 1000uM Final ZnCl2 SiNP,3.52,105425.0,165332.0,188038.0,5.7199999999999996e-08,8.109999999999999e-08,6.27e-08,1.41e-18,4e-18,1.86e-18,9300.0,6550.0,8480.0,256000000.0,4540000000.0,927000000.0,2160.0,18400.0,5000.0,9.957865e-12,1.4849653e-10,5.502386e-12,2.3065894e-13,43.171383,643.79266,23.855072
